restaurant_link;restaurant_name;city;address;latitude;longitude;top_tags;price_level;meals;cuisines;special_diets;features;vegetarian_friendly;vegan_options;gluten_free;original_open_hours;avg_rating;total_reviews_count;excellent;very_good;average;poor;terrible;food;service;value
g187147-d8068515;Un Jour Toujours;Paris;161 avenue de Choisy, 75013 Paris France;48.82817;2.35814;Cheap Eats, Asian, Thai, Vietnamese;€;Lunch Dinner;Asian Thai Vietnamese Cambodian;;Takeout Seating Wheelchair Accessible Serves Alcohol Free Wifi Accepts Credit Cards;N;N;N;"{""Mon"": [""11:30-15:00"", ""18:30-22:30""], ""Tue"": [""11:30-15:00"", ""18:30-22:30""], ""Wed"": [""11:30-15:00"", ""18:30-22:30""], ""Thu"": [""11:30-15:00"", ""18:30-22:30""], ""Fri"": [""11:30-15:00"", ""18:30-22:30""], ""Sat"": [""11:30-15:00"", ""18:30-22:30""], ""Sun"": []}";;;;;;;;;;
g187147-d8079840;Quartier Rouge;Paris;52 rue de Bagnolet, 75020 Paris France;48.8574;2.398881;Mid-range, French, Diner, Wine Bar;€€-€€€;Lunch Dinner;French Diner Wine Bar;;Reservations Seating Wheelchair Accessible Serves Alcohol Free Wifi Table Service Outdoor Seating;N;N;N;"{""Mon"": [""07:30-02:00""], ""Tue"": [""07:30-02:00""], ""Wed"": [""07:30-02:00""], ""Thu"": [""07:30-02:00""], ""Fri"": [""07:30-02:00""], ""Sat"": [""07:30-02:00""], ""Sun"": [""10:00-02:00""]}";4.5;101.0;7.0;3.0;0.0;0.0;1.0;4.5;4.5;4.5
g187147-d808097;Le Tourville;Paris;43 avenue de la Motte Picquet, 75007 Paris France;48.854446;2.306103;Mid-range, French, Bar, European;€€-€€€;Breakfast Lunch Dinner Brunch After-hours Drinks;French Bar European;;Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Full Bar Table Service;N;N;N;"{""Mon"": [""07:00-02:00""], ""Tue"": [""07:00-02:00""], ""Wed"": [""07:00-02:00""], ""Thu"": [""07:00-02:00""], ""Fri"": [""07:00-02:00""], ""Sat"": [""07:00-02:00""], ""Sun"": [""07:00-02:00""]}";3.0;340.0;30.0;37.0;24.0;13.0;8.0;3.5;3.5;2.5
g187147-d808665;Le Rostand;Paris;6 Place Edmond Rostand, 75006 Paris France;48.847733;2.340146;Mid-range, French, Cafe, European;€€-€€€;Breakfast Lunch Dinner Brunch After-hours Drinks;French Cafe European;;Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Full Bar Accepts Credit Cards Table Service;N;N;N;"{""Mon"": [""08:00-01:00""], ""Tue"": [""08:00-01:00""], ""Wed"": [""08:00-01:00""], ""Thu"": [""08:00-01:00""], ""Fri"": [""08:00-01:00""], ""Sat"": [""08:00-01:00""], ""Sun"": [""08:00-01:00""]}";3.0;383.0;32.0;62.0;32.0;12.0;12.0;3.0;3.5;3.0
g187147-d8087838;Oh! Ma Mie! Cafe;Paris;17 rue Desaix, 75015 Paris France;48.853783;2.294074;Cheap Eats, Pizza, Fast food;€;Lunch Dinner;Pizza Fast food;;Takeout Seating Wheelchair Accessible;N;N;N;"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}";3.5;34.0;4.0;5.0;2.0;0.0;1.0;3.0;3.0;3.5
g187147-d809052;Auberge Notre-Dame;Paris;69 quai de la Tournelle, 75005 Paris France;48.851414;2.350556;Mid-range, French, European;€€-€€€;Lunch Dinner After-hours;French European;;Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Accepts Credit Cards Table Service;N;N;N;"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}";2.5;474.0;11.0;30.0;16.0;16.0;27.0;2.5;2.5;2.5
g187147-d8099788;Scaramouche Paris - Artisan Glacier;Paris;22 rue la Vieuville Métro Abbesses, 75018 Paris France;48.88469;2.340445;Cheap Eats, Dessert;€;;;;Takeout Outdoor Seating Wheelchair Accessible Free Wifi;N;N;N;"{""Mon"": [], ""Tue"": [], ""Wed"": [""14:30-19:30""], ""Thu"": [], ""Fri"": [], ""Sat"": [""12:00-19:30""], ""Sun"": [""12:00-19:30""]}";4.5;103.0;16.0;5.0;1.0;1.0;0.0;4.5;4.5;4.0
g187147-d8107187;Café le Dejazet;Paris;41 boulevard du Temple, 75003 Paris France;48.86624;2.36458;;;;;;Seating Wheelchair Accessible;N;N;N;;2.0;17.0;0.0;0.0;0.0;0.0;2.0;;2.0;2.0
g187147-d8107914;Trattoria Di Augustino;Paris;123 avenue de Clichy, 75017 Paris France;48.889862;2.32125;Mid-range, Italian;€€-€€€;Lunch Dinner;Italian;;Seating Serves Alcohol Table Service Takeout Reservations Wheelchair Accessible;N;N;N;;4.0;54.0;3.0;5.0;1.0;1.0;0.0;4.0;4.0;4.0
g187147-d8113684;Terra Corsa;Paris;1 Cour des Petites Ecuries, 75010 Paris France;48.87224;2.35381;Mid-range, French, Wine Bar;€€-€€€;Lunch Dinner;French Wine Bar;;Takeout Reservations Seating Wheelchair Accessible Serves Alcohol Table Service;N;N;N;"{""Mon"": [""10:30-22:30""], ""Tue"": [""10:30-22:30""], ""Wed"": [""10:30-22:30""], ""Thu"": [""10:30-22:30""], ""Fri"": [""10:30-21:30""], ""Sat"": [""10:30-22:30""], ""Sun"": [""10:30-17:00""]}";4.0;27.0;2.0;0.0;0.0;0.0;0.0;4.0;4.5;4.0
