,restaurant_link,restaurant_name,city,address,latitude,longitude,top_tags,price_level,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,avg_rating,total_reviews_count,excellent,very_good,average,poor,terrible,food,service,value
421,g187147-d18189742,Sunday's Coffee,Paris,"171 boulevard Voltaire, 75011 Paris France",48.85419,2.386387,Cheap Eats,€,Breakfast Lunch Brunch Drinks,,,Takeout Outdoor Seating Seating Highchairs Available Wheelchair Accessible Free Wifi Accepts Credit Cards Dog Friendly,N,N,N,"{""Mon"": [], ""Tue"": [""09:00-19:00""], ""Wed"": [""09:00-19:00""], ""Thu"": [""09:00-19:00""], ""Fri"": [""09:00-19:00""], ""Sat"": [""09:00-19:00""], ""Sun"": [""10:00-17:00""]}",5.0,4.0,1.0,0.0,0.0,0.0,0.0,,,
1620,g187147-d8707620,Bridge Bar & Tea House,Paris,"41 rue des Ecoles, 75005 Paris France",48.8489,2.34705,"Mid-range, French",€€-€€€,Lunch Dinner,French,,Highchairs Available Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Outdoor Seating Seating Wheelchair Accessible Accepts Credit Cards Table Service,N,N,N,"{""Mon"": [], ""Tue"": [""15:00-23:00""], ""Wed"": [""15:00-23:00""], ""Thu"": [""15:00-23:00""], ""Fri"": [""15:00-23:00""], ""Sat"": [""15:00-23:00""], ""Sun"": []}",5.0,20.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
